n_loop,frame_id,total,up,d_role,d_ip,a_role,a_ip,encoder,fps,reso,obj_n,obj_size,obj_stable,all_delay,d_proc_delay,d_trans_delay,a_proc_delay,a_trans_delay,edge_mem_ratio
87,353.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,360.96953388392495,0.0,0.07749289274215698,0.0038497447967529297,0.013163566589355469,0.04498755931854248,0.015492022037506104,79.5
88,355.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,366.52164418078195,0.0,0.0926057497660319,0.00800180435180664,0.02070275942484538,0.038816610972086586,0.025084575017293297,79.5
89,358.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,368.51805966493805,0.0,0.06537145376205444,0.005406379699707031,0.015465974807739258,0.02905827760696411,0.015440821647644043,79.5
90,360.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,10,360p,7.0,360.9762131235496,0.0,0.08528518676757812,0.006252606709798177,0.018034696578979492,0.039101203282674156,0.021896680196126297,79.5
91,363.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,360.3464123923165,0.0,0.06401258707046509,0.004952132701873779,0.013377487659454346,0.029075324535369873,0.01660764217376709,79.5
92,364.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4443.75083740285,0.0,0.22986829280853271,0.00821065902709961,0.12625229358673096,0.06035280227661133,0.03505253791809082,79.5
93,375.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4450.860646614406,0.0,0.03787992397944132,0.0013592243194580078,0.020784695943196613,0.010275701681772867,0.005460302035013834,79.5
94,400.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4440.439227637036,0.0,0.02058391387646015,0.0006542022411639874,0.009548838321979228,0.007629495400648851,0.002751377912668081,79.5
95,425.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4470.970996058213,0.0,0.019768549845768854,0.001263590959402231,0.00994890469771165,0.005777368178734412,0.00277868600992056,79.5
96,450.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4374.212528124052,0.0,0.020921954741844766,0.0007562545629648062,0.009829071851877065,0.007736242734468901,0.0026003855925339917,79.4
97,475.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4314.3609258770675,0.0,0.021376591462355394,0.0007494871432964618,0.009653394038860615,0.008246165055495042,0.0027275452247032747,79.4
98,500.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4509.169832967954,0.0,0.020189881324768066,0.0007090385143573468,0.009725818267235389,0.007026388094975398,0.0027286364481999325,79.4
